epoch,train_loss,val_loss,train_acc,val_acc,cpu_mem_mb,gpu_mem_mb
1,1.1695997815453605,0.7490546642205654,0.651440618411806,0.8032786885245902,598.75,0.0
2,0.7663559960515312,0.5226675015993607,0.7652846099789178,0.9081967213114754,606.01953125,0.0
3,0.6871534512911954,0.47902738627714986,0.8179901616303584,0.9114754098360656,605.92578125,0.0
4,0.6389865998095006,0.3787289339189346,0.8334504567814477,0.9344262295081968,605.85546875,0.0
5,0.5655765625533093,0.35910070974093217,0.8468025298664793,0.9377049180327869,605.42578125,0.0
