class,precision,recall,f1,auc_ovr
stressed,0.8961038961038961,0.92,0.9078947368421053,0.9866666666666667
angry,0.9733333333333334,0.9733333333333334,0.9733333333333334,0.9997691197691198
calm,0.9230769230769231,0.96,0.9411764705882353,0.9925541125541125
sad,0.9473684210526315,0.96,0.9536423841059603,0.9954978354978354
confident,0.0,0.0,0.0,0.9822222222222222
macro_avg,0.7479765147133568,0.7626666666666667,0.7552093849739269,0.9913419913419913
